Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Issuance type,Flickr URL,Shelfmarks
159628,,London,1891,A. White & Co.,"The Emigrants' Guide to South Africa ... Seventh edition, etc. [The preface signed: W. C. B., i.e. W. C. Burnet. With illustrations.]","B., W. C.","BURNET, W. C.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000159628,British Library HMNTS 10097.ccc.16.
160715,,London,1856,W. S. Johnson,"The Babes in the Wood; or, Harlequin and the Cruel Uncle. A ... pantomime, founded on the ancient ballad ... The opening story written by the author of ... “The Three Bears,” “Little Bo-peep” [J. B. Buckstone?] ... The harlequinade ... by Mr. W. Dorrington. First performed at the Theatre Royal, Haymarket, on Friday, December 26th, 1856",,"BUCKSTONE, John Baldwin.|DORRINGTON, W.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000160715,British Library HMNTS 11781.e.38.(10.)
161013,,London,1895,Longmans & Co.,Fallacies of Race Theories as applied to national characteristics. Essays. [Edited with a preface by Hercules H. G. MacDonnell.],"BABINGTON, William Dalton.","Macdonnell, Hercules H. G. (Hercules Henry Graves)",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000161013,British Library HMNTS 9004.g.24.
161413,,London,1874,Richard Bentley & Son,As Innocent as a Baby. A novel. [By William Clark Russell.],,"RUSSELL, William Clark.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000161413,British Library HMNTS 12633.m.1.
163920,,London,,William Pickering,"The Works of Francis Bacon ... A new edition: by Basil Montagu, Esq. [With a portrait from a miniature by Nicholas Hilliard.] L.P: Works","Bacon, Francis","MONTAGU, Basil.|WOOD, William - Translator",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000163920,British Library HMNTS 12270.s.1.
164916,,London,1843,Thomas Arnold,"The Orientalist; containing a series of tales, legends, and historical romances ... With engravings by W. and E. Finden, from sketches by the author, and Captain Meadows Taylor","BACON, Thomas - F.S.A","FINDEN, Edward Francis.|FINDEN, William.|TAYLOR, Philip Meadows - Colonel",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000164916,British Library HMNTS 10056.ff.13.|British Library OC T 41576
165908,,London,1817,J. Bumpus,"The History of Norway, from the earliest times, by G. L. Baden, and from the Union of Calmar, by Baron Holbey. Translated from the Danish, and continued to the present time, by A. Andersen Feldborg","BADEN, Gustav Ludvig.","FELDBORG, Andreas Andersen.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000165908,British Library HMNTS 9435.d.13.
170138,,London,1882,W. H. Allen & Co.,Gujarát and the Gujarátis: pictures of men and manners taken from life. [With a preface by E. B. Eastwick.],,"Eastwick, Edward Backhouse",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000170138,British Library HMNTS 10058.df.1.|British Library OC T 35799
172465,,London,1825,Printed for private circulation,"Trifles in Verse. [The editor's preface signed: A. B., i.e. Alexander Baillie.]","BAILLIE, Marianne.","B., A.|BAILLIE, Alexander.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000172465,British Library HMNTS 11642.c.17.
172765,,London,1801,"J. Wallis, etc.","Letters upon the Atalantis of Plato, and the ancient history of Asia: intended as a continuation of the Letters upon the origin of the sciences addressed to M. de Voltaire. [Translated by James Jacque.]","BAILLY, Jean Sylvain.","JACQUE, James.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000172765,British Library HMNTS 1312.b.15.
173479,,London,1836,"Fisher, Son & Co.","History of the County Palatine and Duchy of Lancaster ... The biographical department by W. R. Whatton, Esq. (History of the cotton manufacture [by Edward Baines Jun.]) [With plates.]","BAINES, Edward - M.P. for Leeds","WHATTON, William Robert.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000173479,British Library HMNTS 10368.l.15.
173480,"A new, revised, and improved edition, edited by ... John Harland, etc. (Continued and completed by Brooke Herford.).",London,,G. Routledge & Sons,"[History of the County Palatine and Duchy of Lancaster ... The biographical department by W. R. Whatton, Esq. (History of the cotton manufacture [by Edward Baines Jun.]) [With plates.]]","BAINES, Edward - M.P. for Leeds","HARLAND, John - Antiquary|HERFORD, Brooke.|WHATTON, William Robert.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000173480,British Library HMNTS 10368.l.20.
173648,,London,1864,Longman & Co.,"Explorations in South-West Africa. Being an account of a journey in ... 1861 and 1862 from Walvisch Bay, on the western coast, to Lake Ngami and the Victoria Falls. [With a preface by M. A. Baines, and maps and plates.]","BAINES, Thomas - F.R.G.S","BAINES, M. A.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000173648,British Library HMNTS 010095.ee.38.
175277,,London,1888,Kegan Paul & Co.,Betram de Drumont. [A tale. Edited by Thomas Baker.],"BAKER, Ella.","BAKER, Thomas - Barrister-at-Law",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000175277,British Library HMNTS 012632.l.42.
175279,,London,1888,Kegan Paul & Co.,Kingscote Stories. [Edited by Thomas Baker.],"BAKER, Ella.","BAKER, Thomas - Barrister-at-Law",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000175279,British Library HMNTS 012632.l.41.
175676,,London,1899,Chapman & Hall,Stories of the Streets of London ... With ... illustrations by C. G. Harper,"BAKER, Henry Barton.","HARPER, Charles George.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000175676,British Library HMNTS 10350.de.39.
175833,,London,1879,"Simpkin, Marshall & Co.",Quiet War Scenes. Poems and translations. With eight illustrations ... by H. Whatley,"BAKER, James - of Clifton, Bristol","WHATLEY, H.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000175833,British Library HMNTS 11652.cc.6.
176475,,London,1865,"Smith, Elder & Co.","Noel or, It was to be","BAKER, Robert - Novelist, and YORKE (Skelton)","YORKE, Skelton.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000176475,British Library HMNTS 12631.l.2.
176559,,London,1874,Macmillan & Co.,"Ismailïa. A narrative of the expedition to Central Africa for the suppression of the slave trade; organized by Ismail, Khedive of Egypt ... With maps, portraits, and ... illustrations, etc","BAKER, Samuel White - Sir","DURAND, Godefroy.|ZWECKER, John Baptist.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000176559,British Library HMNTS 10095.df.8.
179539,,London,,"Simpkin, Marshall & Co.",Ingleton: bygone and present. [With a map and illustrations.],"BALDERSTON, Robert R. - and BALDERSTON (Margaret)","BALDERSTON, Margaret.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000179539,British Library HMNTS 10358.ccc.33
180894,,London,,Richard Bentley,"African Hunting from Natal to the Zambesi including Lake Ngami, the Kalahari Desert, &c. from 1852 to 1860 ... With illustrations [including a portrait] by James Wolf and J. B. Zwecker","BALDWIN, William Charles.","WOLF, James - Artist|ZWECKER, John Baptist.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000180894,British Library HMNTS 010095.g.6.
181560,,London,1825,"Hurst, Robinson & Co.",The Historical Works of Sir James Balfour ... Published from the original mss. preserved in the library of the Faculty of Advocates. [Edited by James Haig. With a prefatory memoir taken from the Memoria Balfouriana of Sir Robert Sibbald.],"BALFOUR, James - Sir, Bart., of Kinnaird","HAIG, James - of the Advocates Library, Edinburgh|Sibbald, Robert - Sir",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000181560,British Library HMNTS 600.f.4-7.
181975,,London,1853,Chapman & Hall,The Diary of Martha Bethune Baliol from 1753 to 1754. [By Harriet Skene.],"BALIOL, Martha Bethune.","SKENE, Harriet.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000181975,British Library HMNTS 12627.b.10.
182354,,London,,Published & sold in the Theatre,"Lurline: a grand romantic original opera, in three acts, composed by W. Vincent Wallace, the words by E. Fitzball: first produced at the Royal English Opera, Covent Garden ... February 23rd 1860","BALL, afterwards FITZBALL, Edward.","WALLACE, William Vincent - Musical Composer",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000182354,British Library HMNTS 11781.d.23.(3.)
183576,,London,,"Ward, Lock & Co.",Brave Old Ballads. Illustrated with coloured engravings from drawings by John Gilbert,,"Gilbert, John - Sir",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000183576,British Library HMNTS 11601.ee.8.
186463,,London,1841,John Murray,"A Residence on the Shores of the Baltic. Described in a series of letters. [By Elizabeth Rigby, afterwards Lady Eastlake.]",,"RIGBY, Elizabeth - afterwards EASTLAKE (Elizabeth) Lady",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000186463,British Library HMNTS 791.i.9.
186464,"Another edition. Letters from the Shores of the Baltic. Second edition, with twenty etchings. By Elizabeth Rigby, afterwards Lady Eastlake.",London,1842,John Murray,"[A Residence on the Shores of the Baltic. Described in a series of letters. [By Elizabeth Rigby, afterwards Lady Eastlake.]]",,"RIGBY, Elizabeth - afterwards EASTLAKE (Elizabeth) Lady",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000186464,British Library HMNTS 10106.df.15.
189368,,London,1825,Longman & Co.,"Excursions from Bandon, in the South of Ireland. By a plain Englishman [i.e. Thomas Sheahan]",,"SHEAHAN, Thomas.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000189368,British Library HMNTS 792.c.32.(1.)
189612,,London,1843,"Smith, Elder & Co.","Summer Excursions in the neighbourhood of Banff, and vicinity of Duff-House, Bridge of Alva, &c. &c. By a Deveronside poet [i.e. Alexander Harper. In verse]. To which are appended some notices of the works of art in Duff-House. [With plates and a map.]",,"HARPER, Alexander - Poetical Writer",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000189612,British Library HMNTS 1466.f.2.
190876,,London,1731,W. Meadows; S. Billingsley,The Fall of the Earl of Essex ... Alter'd [by James Ralph] from the Unhappy Favourite of Mr. Banks. [In verse.],"BANKS, John - Dramatic Writer","RALPH, James - Miscellaneous Writer",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000190876,British Library HMNTS 642.h.28.(2.)
191424,,London,1877,Sampson Low & Co.,Africa and the Brussels Geographical Conference ... Translated by R. H. Major ... With a map,"BANNING, Emile.|BANNISTER, John - LL.D","MAJOR, Ralph Hermon.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000191424,British Library HMNTS 10096.bbb.25.
192659,,London,1891,Henry Frowde,"The Vision of Barabbas, and other poems. [By John Joseph Brown.]",,"BROWN, John Joseph.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000192659,British Library HMNTS 11651.g.41.
193941,,London,1874,Samuel Tinsley,"Barbara's Warning. A novel. By the author of “Recommended to Mercy” [i.e. Matilda C. Houstoun], etc",,"HOUSTOUN, Matilda Charlotte.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000193941,British Library HMNTS 12631.n.3.
193942,,London,,J. & R. Maxwell,"The Story of Barbara; her splendid misery, and her gilded cage. A novel. By the author of “Lady Audley's Secret” [i.e. Mary E. Braddon]",,"Braddon, M. E. (Mary Elizabeth)",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000193942,British Library HMNTS 12640.g.8.
194186,,London,,"Charles Corbett, etc","A Voyage to Barbary, for the Redemption of Captives; performed, in 1720, by the Mathurin-Trinitarian Fathers, Fran, Comelin, Philemon de la Motte, and Jos. Bernard. Now first Englished [by J. Morgan] from the French original [of P. de La Motte]. With lists of ... slaves ransomed ... from Mequeniz: also very exact draughts of that place, Alcasar, Oran, and its neighbourhood, with maps, etc: [Voyage pour la redemption des captifs, aux royaumes d'Alger et de Tunis.]",,"BERNARD, Joseph - Abbé",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000194186,British Library HMNTS 1047.g.2.
194842,,London,1734,C. Rivington,"Poems on several Occasions. [With a letter from Dean Swift to Lord Orrery, prefixed; and laudatory verses to the author, by Constantia Grierson.]","BARBER, Mary - Writer of Verse","GRIERSON, Constantia - Mrs",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000194842,British Library HMNTS 642.l.3.|British Library HMNTS 77.k.8.
199977,"Another edition. The Ingoldsby Legends ... Edited, with notes introductory and illustrative, by R. H. Dalton Barham. (Annotated edition.).",London,,Richard Bentley,[The Ingoldsby Legends ... Second edition. [First series. With illustrations by George Cruikshank and John Leech.]]: Ingoldsby Legends. Complete Editions,"Ingoldsby, Thomas","BARHAM, Richard Harris Dalton.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000199977,British Library HMNTS 11650.g.1.
201740,,London,1870,Macmillan & Co.,"Station Life in New Zealand. [With a preface signed: F. N. B., i.e. Sir Frederick N. Broome.]","BARKER, afterwards BROOME, Mary Anne - Lady","B., F. N.|BROOME, Frederick Napier - Sir",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000201740,British Library HMNTS 10491.pp.3.
203445,,London,1846,"Simpkin, Marshall & Co.",Barnard. A modern romance. [By John Stores Smith. In verse.],,"SMITH, John Stores.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000203445,British Library HMNTS 1466.f.38.
